codigofunc;matricula_esocial;nomecolabrador;cpf
1;MAT0001;Adriana Martins;11122233344
2;MAT0002;Bruno Oliveira;22233344455
3;MAT0003;Carlos Eduardo;33344455566
4;MAT0004;Daniela Silva;44455566677
5;MAT0005;Eduardo Gomes;55566677788
6;MAT0006;Fernanda Lima;66677788899
7;MAT0007;Gabriel Santos;77788899900
8;MAT0008;Helena Costa;88899900011
9;MAT0009;Igor Ferreira;99900011122
10;MAT0010;Juliana Paes;00011122233
11;MAT0011;Katia Rocha;12123234354
12;MAT0012;Leonardo Melo;23234345465
13;MAT0013;Monica Souza;34345456576
14;MAT0014;Nelson Piquet;45456567687
15;MAT0015;Olivia Palito;56567678798
16;MAT0016;Paulo Coelho;67678789809
17;MAT0017;Quenia Luz;78789890910
18;MAT0018;Ricardo Amor;89890901021
19;MAT0019;Sandra Rosa;90901012132
20;MAT0020;Tiago Abrav;01012123243
